ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio
2143-04-01,184.0,-148726.0,647.0,,,150.0,-849292.0,695.0,Undefined,326.0,,7168172.0,9.700906445922927,2240.0,1647.0,2.0053978358927687,,,,478.0,,,-2727372.0,-5258900.0,-6762295.0,0.0,-1.1060471663621596,173.0,-7951633.0,-0.1691115588518048,-0.8269898612265577,1.6394342616369845e-16,inf
2102-05-11,108.0,209821469.0,,Ghost,???,-23.0,299376718.0,6135.0,Parallel,-6.0,,,-4.573011539324595,1052.0,-10.0,4.926090075141901,,Alchemy,350.0,484.0,42.0,-9449644.0,-8093579.0,-468987.0,,0.0,2.178572219311714,24.0,-404172.0,0.7723846430043888,1.3294804442573904,-331679576.7057996,-inf
2130-11-24,9.0,-754925.0,1104.0,,???,-16.0,-241515.0,757.0,,,,5905802.0,-1.867483463669518,-10.0,1996.0,9.352553726372072,0,Teleportation,-4.0,493.0,810.0,,-8764897.0,-2419819.0,-6320844.0,,-0.36427227938287743,136.0,-2629379.0,,2.1439388767876926,inf,inf
2117-02-26,250.0,263080496.0,14.0,Ghost,???,74.0,1629915947.0,7053.0,,948.0,Spaceship,450857.0,-3.596240246268294,1972.0,801.0,-4.779116118791721,yes,Time Machine,-4.0,366.0,939.0,-8028248.0,-4825727.0,-8202507.0,-9120611.0,0.0,-1.0143258819234926,,382668.0,-0.23296757455045186,0.23940353753780802,3251730363.3423862,inf
,282.0,368140504.0,771.0,Time Traveler,,87.0,914761913.0,6953.0,,-6.0,Cave,5902944.0,2.7525549301011325,3802.0,145.0,7.820016045000135,0,Teleportation,-2.0,165.0,433.0,-1405637.0,-6637321.0,-8977373.0,-85918.0,-85673.0,-1.1202109603973043,93.0,,1.6900519991163012,5.056563337522682,38546262931.98261,-449992.01470688096
2160-02-18,245.0,758195599.0,-100.0,,,14.0,-287885.0,4678.0,,-3.0,,6021840.0,7.550595235460586,-8.0,76.0,9.036562700188423,yes,,-8.0,198.0,825.0,-5974211.0,-1163877.0,-6648020.0,-1853733.0,,-0.47723022943121896,52.0,-14352457.0,1.2754317788136766,3.4505485019919204,827800.9629132866,inf
2143-11-15,211.0,-908018.0,762.0,Ghost,Grade -1,-9.0,,6869.0,,460.0,Spaceship,7332716.0,-1.4717703181849333,3752.0,-6.0,9.248465981797576,yes,,341.0,285.0,290.0,-1069307.0,-2441473.0,-9116212.0,-101165.0,-2474.0,2.743509086459069,,,,,,-7486627.120699254
2104-08-13,215.0,568209895.0,372.0,,,34.0,361616005.0,4919.0,Undefined,-1.0,Cave,-19328.0,2.0056552746109655,,-13.0,6.232201258475418,yes,Alchemy,-4.0,338.0,279.0,-7734259.0,-2599848.0,-9004230.0,-1839800.0,-25566.0,-1.2666390878095926,-4.0,-16195136.0,2.1446608395504447,3.4704588744266305,,0.7560040679026833
2102-02-09,42.0,367966130.0,1132.0,Time Traveler,???,86.0,-765752.0,9651.0,Complicated,-8.0,Spaceship,8002688.0,-2.0440760644196336,-4.0,-4.0,6.327536679296441,1,Teleportation,,,748.0,-6367700.0,-2626580.0,-195173.0,-946231.0,-22609.0,-0.8485320848924871,144.0,-1931720.0,-0.31645741825073004,,-1.8733939821498002e-151,-353.9602813039055
2106-08-31,269.0,453930961.0,457.0,Alien,,137.0,-783733.0,6204.0,Complicated,-1.0,,8565793.0,-0.15441734529630757,4488.0,536.0,,no,Time Machine,413.0,-19.0,150.0,-7563973.0,-1526264.0,,-6206222.0,-93672.0,2.3718378958199935,28.0,-2829657.0,1.2417464071879798,,inf,
